"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
856,"Cheracebus torquatus","species","30592","Mammalia",NA,"Pitheciidae","Cheracebus",NA,"Simiiformes","Metazoa","Primates","Platyrrhini","Chordata","Cheracebus torquatus",NA,NA,NA,"Callicebinae",NA,NA,"Haplorrhini","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Callicebus torquatus"
859,"Chilodus punctatus","species","303996","Actinopteri","Otomorpha","Chilodontidae","Chilodus","Teleostei",NA,"Metazoa","Characiformes",NA,"Chordata","Chilodus punctatus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Characoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Chilodus punctatus"
860,"Chilomycterus schoepfii","species","223141","Actinopteri","Euteleosteomorpha","Diodontidae","Chilomycterus","Teleostei",NA,"Metazoa","Tetraodontiformes",NA,"Chordata","Chilomycterus schoepfii",NA,"Neopterygii",NA,NA,NA,NA,"Tetraodontoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chilomycterus schoepfi"
862,"Chiloscyllium indicum","species","443761","Chondrichthyes",NA,"Hemiscylliidae","Chiloscyllium","Selachii",NA,"Metazoa","Orectolobiformes",NA,"Chordata","Chiloscyllium indicum",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Chiloscyllium indicum"
863,"Chiloscyllium punctatum","species","137246","Chondrichthyes",NA,"Hemiscylliidae","Chiloscyllium","Selachii",NA,"Metazoa","Orectolobiformes",NA,"Chordata","Chiloscyllium punctatum",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Chiloscyllium punctatum"
864,"Chimarrogale himalayaca","genus","62292","Mammalia",NA,"Soricidae","Chimarrogale",NA,NA,"Metazoa","Eulipotyphla",NA,"Chordata",NA,NA,NA,NA,"Soricinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Chimarrogale himalayaca"
865,"Chionactis occipitalis","genus","487790","Craniata",NA,"Colubridae","Chionactis",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,"Colubrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Chionactis occipitalis"
866,"Chirocentrus dorab","species","221863","Actinopteri","Otomorpha","Chirocentridae","Chirocentrus","Teleostei",NA,"Metazoa","Clupeiformes",NA,"Chordata","Chirocentrus dorab",NA,"Neopterygii","Clupei",NA,NA,NA,"Clupeoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chirocentrus dorab"
867,"Chirolophis japonicus","species","476915","Actinopteri","Euteleosteomorpha","Stichaeidae","Chirolophis","Teleostei","Zoarcales","Metazoa","Perciformes",NA,"Chordata","Chirolophis japonicus",NA,"Neopterygii",NA,"Chirolophinae",NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chirolophis japonicus"
868,"Chironectes sp.","genus","91499","Mammalia",NA,"Didelphidae","Chironectes",NA,NA,"Metazoa","Didelphimorphia",NA,"Chordata",NA,NA,NA,NA,"Didelphinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chironectes sp."
871,"Chiropodomys gliroides","species","491874","Mammalia",NA,"Muridae","Chiropodomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Chiropodomys gliroides",NA,NA,NA,"Murinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Chiropodomys gliroides"
872,"Chitra indica","species","171798","Craniata",NA,"Trionychidae","Chitra",NA,NA,"Metazoa","Testudines",NA,"Chordata","Chitra indica",NA,NA,NA,NA,NA,NA,"Cryptodira","Craniata",NA,"Sarcopterygii","Trionychia","Eukaryota",NA,NA,"Chitra indica"
873,"Chlamydosaurus kingii","species","103699","Craniata",NA,"Agamidae","Chlamydosaurus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Chlamydosaurus kingii",NA,NA,NA,"Amphibolurinae",NA,NA,"Iguania","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Chlamydosaurus kingii"
874,"Chloris sp.","genus","1897773","Aves",NA,"Fringillidae","Chloris","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,"Carduelinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Passeroidea","Eukaryota",NA,NA,"Chloris sp."
875,"Chloroceryle americana","species","57406","Aves",NA,"Cerylidae","Chloroceryle","Neognathae",NA,"Metazoa","Coraciiformes",NA,"Chordata","Chloroceryle americana",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chloroceryle americana americana"
876,"Chlorocichla simplex","species","2022790","Aves",NA,"Pycnonotidae","Chlorocichla","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Chlorocichla simplex",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Chlorocichla simplex"
878,"Chlorophthalmus agassizi","species","143313","Actinopteri","Euteleosteomorpha","Chlorophthalmidae","Chlorophthalmus","Teleostei",NA,"Metazoa","Aulopiformes",NA,"Chordata","Chlorophthalmus agassizi",NA,"Neopterygii",NA,NA,NA,NA,"Alepisauroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chlorophthalmus agassizi"
879,"Chloroscombrus chrysurus","species","173329","Actinopteri","Euteleosteomorpha","Carangidae","Chloroscombrus","Teleostei",NA,"Metazoa","Carangiformes",NA,"Chordata","Chloroscombrus chrysurus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chloroscombrus chrysurus"
880,"Choerodon cyanodus","species","475991","Actinopteri","Euteleosteomorpha","Labridae","Choerodon","Teleostei",NA,"Metazoa","Labriformes",NA,"Chordata","Choerodon cyanodus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Choerodon cyanodus"
881,"Choerodon venustus","species","443689","Actinopteri","Euteleosteomorpha","Labridae","Choerodon","Teleostei",NA,"Metazoa","Labriformes",NA,"Chordata","Choerodon venustus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Choerodon venustus"
882,"Choloepus didactylus","species","27675","Mammalia",NA,"Megalonychidae","Choloepus",NA,NA,"Metazoa","Pilosa",NA,"Chordata","Choloepus didactylus",NA,NA,NA,NA,NA,NA,"Folivora","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Xenarthra",NA,"Choloepus didactylus"
883,"Chondrodactylus angulifer","species","202837","Craniata",NA,"Gekkonidae","Chondrodactylus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Chondrodactylus angulifer",NA,NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Chondrodactylus angulifer"
884,"Chondrostoma regius","genus","52618","Actinopteri","Otomorpha","Cyprinidae","Chondrostoma","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Chondrostoma regius"
886,"Chordeiles minor","species","48398","Aves",NA,"Caprimulgidae","Chordeiles","Neognathae",NA,"Metazoa","Caprimulgiformes",NA,"Chordata","Chordeiles minor",NA,NA,NA,"Chordeilinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chordeilus minor"
890,"Christinus marmoratus","species","221556","Craniata",NA,"Gekkonidae","Christinus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Christinus marmoratus",NA,NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Christinus marmoratus"
891,"Chroicocephalus cirrocephalus","species","1192863","Aves",NA,"Laridae","Chroicocephalus","Neognathae",NA,"Metazoa","Charadriiformes",NA,"Chordata","Chroicocephalus cirrocephalus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Larus cirrocephalus"
892,"Chromis chromis","species","91607","Actinopteri","Euteleosteomorpha","Pomacentridae","Chromis","Teleostei",NA,"Metazoa","Neopterygii",NA,"Chordata","Chromis chromis",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Chromis chromis"
893,"Chrysichthys brachynema","species","1451170","Actinopteri","Otomorpha","Claroteidae","Chrysichthys","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Chrysichthys brachynema",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Chrysichthys brachynema"
894,"Chrysichthys sp.","genus","236587","Actinopteri","Otomorpha","Claroteidae","Chrysichthys","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Chrysichthys sp."
895,"Chrysochloris aurea","genus","185452","Mammalia",NA,"Chrysochloridae","Chrysochloris",NA,NA,"Metazoa","Afrotheria",NA,"Chordata",NA,NA,NA,NA,"Chrysochlorinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Afrotheria",NA,"Chrysochloris aurea"
896,"Chrysochloris capensis","genus","185452","Mammalia",NA,"Chrysochloridae","Chrysochloris",NA,NA,"Metazoa","Afrotheria",NA,"Chordata",NA,NA,NA,NA,"Chrysochlorinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Afrotheria",NA,"Chrysochloris capensis"
897,"Chrysococcyx klaas","species","55667","Aves",NA,"Cuculidae","Chrysococcyx","Neognathae",NA,"Metazoa","Cuculiformes",NA,"Chordata","Chrysococcyx klaas",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chrysoccyx klaas"
898,"Chrysocolaptes lucidus","species","315365","Aves",NA,"Picidae","Chrysocolaptes","Neognathae",NA,"Metazoa","Piciformes",NA,"Chordata","Chrysocolaptes lucidus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chrysocolaptes guttacristatus stricklandi"
898,"Chrysocolaptes lucidus","species","315365","Aves",NA,"Picidae","Chrysocolaptes","Neognathae",NA,"Metazoa","Piciformes",NA,"Chordata","Chrysocolaptes lucidus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chrysocolaptes lucidus"
900,"Chthonerpeton indistinctum","species","420416","Amphibia",NA,"Typhlonectidae","Chthonerpeton",NA,NA,"Metazoa","Gymnophiona",NA,"Chordata","Chthonerpeton indistinctum",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Chthonerpeton indistinctum"
901,"Cichla monoculus","species","81334","Actinopteri","Euteleosteomorpha","Cichlidae","Cichla","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata","Cichla monoculus",NA,"Neopterygii",NA,"Cichlinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlini","Cichla monoculus"
902,"Cichlasoma lepidota","genus","8114","Actinopteri","Euteleosteomorpha","Cichlidae","Cichlasoma","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlasomatini","Cichlasoma lepidota"
903,"Cichlasoma monoculus","genus","8114","Actinopteri","Euteleosteomorpha","Cichlidae","Cichlasoma","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlasomatini","Cichlasoma monoculus"
904,"Cichlasoma ocellaris","genus","8114","Actinopteri","Euteleosteomorpha","Cichlidae","Cichlasoma","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlasomatini","Cichlasoma ocellaris"
905,"Cichlasoma tetracanthum","genus","8114","Actinopteri","Euteleosteomorpha","Cichlidae","Cichlasoma","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlasomatini","Cichlasoma tetracanthum"
906,"Ciconia sp.","genus","8927","Aves",NA,"Ciconiidae","Ciconia","Neognathae",NA,"Metazoa","Ciconiiformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Ciconia sp."
907,"Cinclus cinclu","genus","127874","Aves",NA,"Cinclidae","Cinclus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Cinclus cincli pallasii"
908,"Cinclus pallasii","species","245049","Aves",NA,"Cinclidae","Cinclus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cinclus pallasii",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Cinclus pallasii marila"
909,"Cinctura lilium","genus","1838216","Gastropoda",NA,"Fasciolariidae","Cinctura",NA,NA,"Metazoa","Neogastropoda",NA,"Mollusca",NA,NA,"Caenogastropoda",NA,NA,NA,NA,NA,NA,NA,NA,"Buccinoidea","Eukaryota",NA,NA,"Fasciolaria lilium hunteria"
910,"Ciona ciona","genus","7718","Ascidiacea",NA,"Cionidae","Ciona",NA,NA,"Metazoa","Enterogona",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,"Phlebobranchia","Tunicata",NA,NA,NA,"Eukaryota",NA,NA,"Ciona ciona"
913,"Circaetus gallicus","species","43465","Aves",NA,"Accipitridae","Circaetus","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Circaetus gallicus",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Circaetus gallicus"
914,"Circus approximans","species","387821","Aves",NA,"Accipitridae","Circus","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Circus approximans",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Circus approximans"
915,"Circus melanoleucos","species","387827","Aves",NA,"Accipitridae","Circus","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Circus melanoleucos",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Circus melanoleucos"
918,"Cirrhinus molitorella","species","172907","Actinopteri","Otomorpha","Cyprinidae","Cirrhinus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Cirrhinus molitorella",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Cirrhina molitorella"
919,"Cirrhinus mrigala","species","683832","Actinopteri","Otomorpha","Cyprinidae","Cirrhinus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Cirrhinus mrigala",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Cirrhina mrigala"
919,"Cirrhinus mrigala","species","683832","Actinopteri","Otomorpha","Cyprinidae","Cirrhinus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Cirrhinus mrigala",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Cirrhinus mrigala"
920,"Cirrhinus reba","species","1217998","Actinopteri","Otomorpha","Cyprinidae","Cirrhinus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Cirrhinus reba",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Cirrhina reba"
921,"Cissa chinensis","species","56792","Aves",NA,"Corvidae","Cissa","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cissa chinensis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Corvoidea","Eukaryota",NA,NA,"Cissa chinensis"
922,"Cisticola cantans","species","208061","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola cantans",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola cantans"
922,"Cisticola cantans","species","208061","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola cantans",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola cantans swanzii"
923,"Cisticola erythrops","species","1200311","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola erythrops",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola erythrops"
923,"Cisticola erythrops","species","1200311","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola erythrops",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola erythrops erythrops"
924,"Cisticola galactotes","species","405087","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola galactotes",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola galactotes"
924,"Cisticola galactotes","species","405087","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cisticola galactotes",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola galactotes amphilecta"
925,"Cisticola lateralis","genus","52621","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola lateralis"
925,"Cisticola lateralis","genus","52621","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola lateralis lateralis"
926,"Cisticola natalensis","genus","52621","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola natalensis"
926,"Cisticola natalensis","genus","52621","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola natalensis strangei"
927,"Cisticola sp.","genus","52621","Aves",NA,"Cisticolidae","Cisticola","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Cisticola sp."
940,"Citharichthys macrops","species","253861","Actinopteri","Euteleosteomorpha","Paralichthyidae","Citharichthys","Teleostei",NA,"Metazoa","Pleuronectiformes",NA,"Chordata","Citharichthys macrops",NA,"Neopterygii",NA,NA,NA,NA,"Pleuronectoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Citharichthys macrops"
941,"Citharichthys stigmaeus","species","319775","Actinopteri","Euteleosteomorpha","Paralichthyidae","Citharichthys","Teleostei",NA,"Metazoa","Pleuronectiformes",NA,"Chordata","Citharichthys stigmaeus",NA,"Neopterygii",NA,NA,NA,NA,"Pleuronectoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Citharichthys stigmaeus"
944,"Clangula glaucion","genus","197940","Aves",NA,"Anatidae","Clangula","Neognathae",NA,"Metazoa","Anseriformes",NA,"Chordata",NA,NA,NA,NA,"Anatinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Clangula glaucion"
945,"Clangula sp.","genus","197940","Aves",NA,"Anatidae","Clangula","Neognathae",NA,"Metazoa","Anseriformes",NA,"Chordata",NA,NA,NA,NA,"Anatinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Clangula sp."
946,"Clarias dumerilii","species","1676876","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clarias dumerilii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias dumerilii"
947,"Clarias laticeps","genus","13012","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias laticeps"
948,"Clarias liocephalus","species","391045","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clarias liocephalus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias liocephalus"
949,"Clarias platycephalus","species","310930","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clarias platycephalus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias platycephalus"
950,"Clarias sp.","genus","13012","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias sp."
951,"Clarias theodorae","species","310927","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clarias theodorae",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias theodorae"
952,"Clarias vanderhorsti","genus","13012","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias vanderhorsti"
953,"Clarias walkeri","genus","13012","Actinopteri","Otomorpha","Clariidae","Clarias","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarias walkeri"
954,"Clarotes laticeps","species","103208","Actinopteri","Otomorpha","Claroteidae","Clarotes","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clarotes laticeps",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clarotes laticeps"
955,"Clelia rustica","genus","121321","Craniata",NA,"Dipsadidae","Clelia",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Clelia rustica"
958,"Clistocoeloma princeps","genus","285649","Malacostraca",NA,"Sesarmidae","Clistocoeloma",NA,"Brachyura","Metazoa","Decapoda",NA,"Arthropoda",NA,NA,"Eumalacostraca",NA,NA,NA,NA,"Pleocyemata","Crustacea",NA,"Multicrustacea","Grapsoidea","Eukaryota","Eucarida",NA,"Clistocoeloma princeps"
959,"Clupea pilchardus","genus","7949","Actinopteri","Otomorpha","Clupeidae","Clupea","Teleostei",NA,"Metazoa","Clupeiformes",NA,"Chordata",NA,NA,"Neopterygii","Clupei","Clupeinae",NA,NA,"Clupeoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Clupea pilchardus"
960,"Clupeonella engrauliformis","genus","501718","Actinopteri","Otomorpha","Clupeidae","Clupeonella","Teleostei",NA,"Metazoa","Clupeiformes",NA,"Chordata",NA,NA,"Neopterygii","Clupei","Clupeinae",NA,NA,"Clupeoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Clupeonella engrauliformis"
961,"Clupisoma garua","species","555719","Actinopteri","Otomorpha","Schilbeidae","Clupisoma","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Clupisoma garua",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Clupisoma garua"
962,"Cnemidophorus inornatus","genus","37196","Craniata",NA,"Teiidae","Cnemidophorus",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Teiioidea","Eukaryota","Lepidosauria",NA,"Cnemidophorus inornatus"
962,"Cnemidophorus inornatus","genus","37196","Craniata",NA,"Teiidae","Cnemidophorus",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Teiioidea","Eukaryota","Lepidosauria",NA,"Cnemidophorus inornatus arizonae"
